Immagine;Categoria;RispostaCorretta
conflitto_1.webp;Conflitto;a
conflitto_2.webp;Conflitto;a
conflitto_3.webp;Conflitto;a
conflitto_4.webp;Conflitto;a
conflitto_5.webp;Conflitto;a
conflitto_6.webp;Conflitto;a
conflitto_7.webp;Conflitto;a
conflitto_8.webp;Conflitto;a
conflitto_9.webp;Conflitto;a
conflitto_10.webp;Conflitto;a
neutra_1.webp;Neutra;l
neutra_2.webp;Neutra;l
neutra_3.webp;Neutra;l
neutra_4.webp;Neutra;l
neutra_5.webp;Neutra;l
neutra_6.webp;Neutra;l
neutra_7.webp;Neutra;l
neutra_8.webp;Neutra;l
neutra_9.webp;Neutra;l
neutra_10.webp;Neutra;l
